"tipNames","trait"
"Nototriton_picadoi",3.27336401015227
"Nyctanolis_pernix",3.68637632389582
"Oedipina_complex",3.44680789291421
"Oedipina_cyclocauda",3.89792408104864
"Oedipina_parvipes",3.68260984110034
"Oedipina_uniformis",3.90801498403061
"Ommatotriton_vittatus",3.89182029811063
"Pachyhynobius_shangchengensis",4.67888522381037
"Pachytriton_brevipes",4.60266705576997
"Paradactylodon_mustersi",4.2941307757363
"Paramesotriton_caudopunctatus",4.22829253473184
"Paramesotriton_chinensis",4.16278172377533
"Paramesotriton_hongkongensis",4.36246147917904
"Parvimolge_townsendi",2.96225304647982
"Phaeognathus_hubrichti",4.68203863024467
"Plethodon_albagula",4.26436859120565
"Plethodon_amplus",4.11087386417331
"Plethodon_angusticlavius",3.77007918448618
"Plethodon_caddoensis",3.70990682130601
"Plethodon_cheoah",3.96081316959758
"Plethodon_chlorobryonis",3.93116855415038
"Plethodon_cinereus",3.81308625756812
"Plethodon_cylindraceus",4.31160417037734
"Plethodon_dorsalis",3.71153340467847
"Plethodon_dunni",4.09217554493726
"Plethodon_elongatus",3.96128924673106
"Plethodon_glutinosus",4.26275029709698
"Plethodon_grobmani",4.08092154188996
"Plethodon_hoffmani",3.89406268005115
"Plethodon_hubrichti",3.98555223871626
"Plethodon_idahoensis",3.77620328228561
"Plethodon_jordani",4.11414718951828
"Plethodon_kentucki",4.11998794220208
"Plethodon_meridianus",4.11903717481247
"Plethodon_metcalfi",4.00369019395397
"Plethodon_mississippi",4.18677180246803
"Plethodon_montanus",4.00733318523247
"Plethodon_neomexicanus",4.12834333139423
"Plethodon_nettingi",3.80832776908938
"Plethodon_ouachitae",4.02980604108453
"Plethodon_punctatus",4.16037415865418
"Plethodon_richmondi",3.96043214463583
"Plethodon_serratus",3.67545221079991
"Plethodon_shenandoah",3.84801767545223
"Plethodon_shermani",4.00914971615887
"Plethodon_teyahalee",4.26127043353808
"Plethodon_vandykei",3.97687397774776
"Plethodon_vehiculum",3.9383435604935
"Plethodon_ventralis",3.73766961828337
"Plethodon_wehrlei",4.0515240442057
"Plethodon_welleri",3.75419892023458
"Plethodon_yonahlossee",4.40575536824794
"Pleurodeles_waltl",4.50454842467744
"Proteus_anguinus",4.98907111618042
"Pseudobranchus_axanthus",4.5013640172625
"Pseudoeurycea_bellii",4.29907292330404
"Pseudoeurycea_cephalica",3.80291101734437
"Pseudoeurycea_gadovii",3.3178157727231
"Pseudoeurycea_galeanae",3.92395157629342
"Pseudoeurycea_leprosa",4.06263887373527
"Pseudoeurycea_rex",3.4904285153901
"Pseudoeurycea_robertsi",3.8649313978943
"Pseudoeurycea_werleri",3.97066920086088
"Pseudotriton_montanus",4.31715472463507
"Pseudotriton_ruber",4.32446372727274
"Ranodon_sibiricus",4.45408563411598
"Rhyacotriton_cascadae",3.85333400907947
"Rhyacotriton_kezeri",3.8155121050473
"Rhyacotriton_olympicus",3.89100363820407
"Rhyacotriton_variegatus",3.79773385902602
"Salamandra_atra",4.20123141243846
"Salamandra_salamandra",4.76294286986063
"Salamandrella_keyserlingii",3.82209829790016
"Salamandrina_terdigitata",3.52547778217249
"Siren_intermedia",5.28421844216853
"Siren_lacertina",5.55218409050509
"Stereochilus_marginatus",3.90197266957464
"Taricha_granulosa",4.29387824789718
"Taricha_rivularis",4.23555473077362
"Taricha_torosa",4.35169628486605
"Triturus_cristatus",4.15304576682959
"Triturus_pygmaeus",4.00551334851548
"Tylototriton_asperrimus",4.07584109065754
"Tylototriton_kweichowensis",4.4672864786247
"Tylototriton_verrucosus",4.23916614676084
